y,X,term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,SUBJ,AHI.F,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0934321596798885,0.175945951439345,0.531027619081636,0.595399640172186,0.748069745199153,-0.251415568366861,0.438279887726638,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.00930662899038372,0.18331155401696,0.0507694620794207,0.959509225213638,0.0596314175902238,-0.349977414832926,0.368590672813694,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.23836262361922,0.261102070522944,0.912909741166814,0.361290013860989,1.46877071598839,-0.273388030894587,0.750113278133026,CON,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.209095598446413,0.247755814099518,-0.843958391880256,0.398692656729701,1.32665106140365,-0.69468807104187,0.276496874149044,PD,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.327815037904744,0.258044717330032,1.27038073593066,0.203949041874524,2.29371936533045,-0.177943314462937,0.833573390272425,NA,H,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.119643184160889,0.24047340731347,-0.49753187056117,0.618814034053557,0.69242217891832,-0.590962401734922,0.351676033413143,NA,L,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.447458222065633,0.352773457231947,-1.2684010457494,0.204654768373802,2.28873581350048,-1.13888149294193,0.243965048810664,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.447458222065633,0.352773456423565,1.26840104865595,0.204654767336365,2.2887358208138,-0.243965047226264,1.13888149135753,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0245511337520064,0.20814012391915,-0.117954833934581,0.906103445264544,0.142252329990191,-0.432498280371243,0.383396012867231,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.108878103980518,0.216853471673867,-0.502081443013574,0.615610233060281,0.699910881638038,-0.533903098383774,0.316146890422737,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0106763847067269,0.308877901777916,0.0345650648533712,0.972426559052156,0.0403387978909628,-0.594713178398288,0.616065947811742,CON,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.222871918775333,0.29308960033565,-0.76042247326448,0.447002094217827,1.16164650439466,-0.797316979676446,0.35157314212578,PD,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0977836918814536,0.305261120176925,0.320328025477924,0.74871968026925,0.417502418369392,-0.500517109545672,0.69608449330858,NA,H,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.135764611600606,0.284474656079614,-0.477246772951932,0.633186408288383,0.659297807361418,-0.693324692031068,0.421795468829855,NA,L,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.23354830348206,0.417323120205573,-0.559634231065402,0.575728951155128,0.796538333322949,-1.05148658900086,0.584389982036743,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.23354830348206,0.417323117072469,0.559634235266924,0.575728948288718,0.796538340505765,-0.584389975895971,1.05148658286009,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0325051993481446,0.199975864897108,0.162545612016077,0.870876212630425,0.199460427861066,-0.359440293627434,0.424450692323724,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.135468261725639,0.208347435383693,0.650203644101309,0.515560687486465,0.955785835320109,-0.272885207897685,0.543821731348964,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.215196729876116,0.296762224757684,0.725148660857463,0.468360834534337,1.09430765565266,-0.366446542620926,0.796840002373158,CON,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0594480944193706,0.281593217960071,0.211113374285173,0.832798804250122,0.26396009770015,-0.492464471073105,0.611360659911847,PD,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.114087817920726,0.293287318415678,0.388996764459581,0.697278539856837,0.520193014407852,-0.460744763296334,0.688920399137786,NA,H,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0416608175360199,0.273316206526978,-0.152427176073468,0.878850024102527,0.186311104654326,-0.577350738720007,0.494029103647967,NA,L,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.155748635456745,0.400953702857492,-0.3884454348389,0.697686426558112,0.519349328505893,-0.941603452525404,0.630106181611913,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.155748635456745,0.400953702228349,0.388445435448416,0.697686426107129,0.519349329438448,-0.630106180378815,0.941603451292306,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0720783437924331,0.216951323181333,-0.332232791833163,0.739713484382654,0.434961519690299,-0.497295123626155,0.353138436041289,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.280589638009484,0.226749993454948,1.23744055615699,0.215923570107057,2.21140735907423,-0.163832182656906,0.725011458675874,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.321634631398426,0.324960794085215,0.989764418516539,0.322289280132159,1.63357189208523,-0.315276821396132,0.958546084192984,CON,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.242408248810468,0.303559857950811,0.798551726986734,0.424550388078265,1.23599230361422,-0.352558139925217,0.837374637546153,PD,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0310333504034912,0.316045105021899,-0.0981927892898099,0.921779208108256,0.11750686865065,-0.650470373736592,0.588403672929609,NA,H,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.110259732991449,0.298450721340135,-0.369440330036226,0.71179954176549,0.490457090801771,-0.695212397978112,0.474692931995215,NA,L,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.0792263825879578,0.434866275633425,-0.182185621252319,0.855437056734099,0.225266390118116,-0.93154862092054,0.773095855744624,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.0792263825879578,0.434866270406627,0.182185623442067,0.855437055015689,0.225266393016215,-0.773095845500288,0.931548610676204,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.119537827793322,0.220205052360704,0.542847798049223,0.587234600332805,0.767991119455,-0.312056144047415,0.551131799634059,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.141297675515566,0.229423477825509,0.615881499377462,0.537972732754122,0.894395043513129,-0.308364078230355,0.590959429261488,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.256692876795215,0.326782141775135,0.785516844344115,0.432150598228088,1.21039393653757,-0.383788351874911,0.897174105465342,CON,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0312696929000871,0.310078664582251,0.100844387156449,0.919673990561489,0.12080555497089,-0.5764733220554,0.639012707855574,PD,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.237616638405056,0.322955722802498,0.735756085518786,0.461879150739427,1.1144126705963,-0.39536494688894,0.870598223699052,NA,H,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0121934545099275,0.300964362805176,0.0405146124154929,0.967682857583613,0.0473937899069383,-0.577685857218263,0.602072766238118,NA,L,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.225423183895128,0.441513429676868,-0.510569257338581,0.609652707257769,0.713940459096345,-1.09077360475255,0.639927236962291,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.225423183895128,0.441513433325042,0.510569253119807,0.609652710212515,0.713940452104172,-0.63992724411258,1.09077361190284,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.345557522435604,0.211007958543316,-1.63765160717702,0.10149439096446,3.30052809507649,-0.759125521631824,0.0680104767606155,NA,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.328680669989025,0.21984136871646,-1.49508107554106,0.13489328416802,2.89010957120218,-0.759561834985277,0.102200495007228,NA,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.167128492262457,0.313133746925644,-0.533728778527798,0.593529195375886,0.752609097896237,-0.7808593585808,0.446602374055886,CON,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.482718792937613,0.29712790104557,-1.62461617114705,0.10424436926176,3.26195863598983,-1.06507877778891,0.0996411919136845,PD,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.180248317320046,0.309467139854943,-0.582447355814689,0.560265391639299,0.835817716815825,-0.786792765834354,0.426296131194262,NA,H,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.495838617995202,0.28839427145688,-1.7193081384397,0.0855582788452879,3.54694872931879,-1.06108100339836,0.0694037674079505,NA,L,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.315590300675156,0.423073158835543,-0.745947347602433,0.455699221900087,1.13384618770529,-1.14479845481841,0.513617853468102,NA,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.315590300675156,0.423073163829583,0.745947338797123,0.455699227219404,1.1338461708649,-0.513617863256239,1.14479846460655,NA,NA,0.313933426662048,,0,0.0105311481283416,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.032422120041816,0.211167213847996,0.153537660752366,0.877974293393698,0.187749395828739,-0.381458013815924,0.446302253899557,NA,NA,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.338052689411398,0.222618377677967,-1.51853001956746,0.128880837669516,2.95589031880808,-0.774376691956949,0.0982713131341522,NA,NA,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.69436162673804,0.306880193837335,-2.26264725023634,0.0236574429512579,5.40156204343853,-1.29583575422789,-0.0928874992481933,CON,NA,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0271639713484092,0.305417754574442,0.0889403806476755,0.929129291581672,0.106048728263211,-0.571443827856589,0.625771770553408,PD,NA,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.341702264151158,0.307638953091879,-1.11072496092231,0.266686754677948,1.90678192142322,-0.944663532452848,0.261259004150533,NA,H,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.379823333935292,0.288454327541559,1.31675380699764,0.187921161181072,2.41180056185991,-0.185536759230884,0.945183427101467,NA,L,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,0.721525598086449,0.420385767222465,1.7163416422341,0.0860995308549892,3.53785081318657,-0.10241536528282,1.54546656145572,NA,NA,0.874867427465807,,0,0.0333051901602477,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,-0.721525598086449,0.420385766712016,-1.71634164431815,0.0860995304737748,3.53785081957425,-1.54546656045526,0.102415364282359,NA,NA,0.874867427465807,,0,0.0333051901602477,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.439385935484052,0.215362816504451,2.04021261708829,0.0413291536249125,4.59669637054919,0.0172825715262196,0.861489299441885,NA,NA,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.0859093485291739,0.227041486512916,-0.378386126027617,0.705143773225076,0.504010653302665,-0.530902485090927,0.359083788032579,NA,NA,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.262328254929692,0.312977481910381,-0.838169740929823,0.401935378808587,1.31496452424537,-0.875752847446074,0.35109633758669,CON,NA,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0949200305313571,0.311485981985918,0.304732912621565,0.760569580441231,0.394847856450282,-0.515581275850134,0.705421336912848,PD,NA,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.254146083763508,0.313751297971694,0.810024007570597,0.417926377819199,1.25867927628931,-0.360795160363707,0.869087327890723,NA,H,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.611394369224557,0.29418552583236,2.07826121796677,0.0376853063699146,4.72985406838661,0.0348013338201534,1.18798740462896,NA,L,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,0.357248285461049,0.428738255443205,0.83325497765938,0.404700942159616,1.30507188722566,-0.483063254002165,1.19755982492426,NA,NA,0.0340673865809835,!,0,0.00169426338628467,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,-0.357248285461049,0.428738251091845,-0.833254986116271,0.404700937391109,1.30507190422463,-1.19755981639576,0.483063245473656,NA,NA,0.0340673865809835,!,0,0.00169426338628467,!
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.635905475836101,0.211503239003539,-3.00659923144469,0.00264187811160388,8.56422037819888,-1.0504442068966,-0.221366744775598,NA,NA,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.162295312873439,0.220357378454743,-0.736509546499125,0.461420659993885,1.11584549311304,-0.594187838372397,0.269597212625519,NA,NA,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.0949457764857554,0.313868735583748,-0.302501541955655,0.762269758173023,0.391626454245573,-0.710117194103026,0.520225641131515,CON,NA,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.22651231268495,0.297825327347284,-0.760554230570265,0.44692336620645,1.16190062068716,-0.810239227969478,0.357214602599577,PD,NA,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.566989671160332,0.310193528707341,-1.82785783289267,0.0675708909318088,3.88745431239022,-1.17495781566411,0.0409784733434478,NA,H,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.698556207359527,0.289071197961686,-2.41655416480515,0.0156681949050766,5.99601720980472,-1.26512534433228,-0.131987070386774,NA,L,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.131566536199195,0.424066204871436,-0.310249990892536,0.75637085747252,0.402834316726373,-0.962721024807793,0.699587952409403,NA,NA,0.00173476160769921,!,0,0.101991143590624,
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.131566536199195,0.424066217138555,0.31024998191782,0.756370864296838,0.40283430370973,-0.699587976452515,0.962721048850905,NA,NA,0.00173476160769921,!,0,0.101991143590624,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.320278396474098,0.212620723302221,-1.50633668957494,0.131980764094068,2.92160041960939,-0.737007356513308,0.0964505635651121,NA,NA,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.109925211111769,0.22415070846187,0.490407600609784,0.623845499367988,0.680739317233401,-0.329402104582634,0.549252526806173,NA,NA,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.03133031002157,0.308992509375666,0.101395047034876,0.91923686810603,0.121491433144546,-0.57428387984739,0.63694449989053,CON,NA,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.190484984729223,0.307520009520528,0.619423058116509,0.535637694888816,0.900670602642665,-0.412243158456426,0.793213127914873,PD,NA,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.402803042618807,0.309756480796368,-1.30038616652417,0.193468648763715,2.36982829563735,-1.00991458895756,0.204308503719948,NA,H,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.243648367911154,0.290439832842415,-0.838894464050154,0.401528534622765,1.3164255783877,-0.81289997995812,0.325603244135812,NA,L,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,0.159154674707653,0.423279375915732,0.376003849380411,0.706914034272392,0.500393311068523,-0.670457657485772,0.988767006901079,NA,NA,0.568108643182487,,0,0.584139847684819,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,-0.159154674707653,0.423279375916655,-0.376003849379591,0.706914034273002,0.500393311067279,-0.988767006902888,0.670457657487581,NA,NA,0.568108643182487,,0,0.584139847684819,
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.959182043351812,0.195097770253656,-4.91641725123117,8.81424296239176e-07,20.1136599995219,-1.34156664651305,-0.576797440190576,NA,NA,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.134831362327155,0.203328087581325,-0.663122168368532,0.507252313859424,0.979224553957369,-0.533347091031957,0.263684366377647,NA,NA,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.407056800408539,0.287174462137433,-1.41745473249545,0.156350020255029,2.67714868872433,-0.96990840347757,0.155794802660491,CON,NA,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.130912517704673,0.277307038808462,0.472085087588041,0.636866056164425,0.650938113970573,-0.412599291019364,0.67442432642871,PD,NA,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-1.24437059753231,0.288667400921035,-4.31074168251063,1.62707888646927e-05,15.9073562748345,-1.81014830684832,-0.678592888216298,NA,H,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.706401279419098,0.264486055682022,-2.67084507573574,0.00756605583198069,7.04624286219702,-1.22478442296892,-0.18801813586928,NA,L,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,0.537969318113212,0.391478637576077,1.37419840184426,0.169380096774937,2.56166373598516,-0.229314712252708,1.30525334847913,NA,NA,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,-0.537969318113212,0.391478630856263,-1.37419842543267,0.169380089453889,2.56166379834219,-1.30525333530854,0.229314699082114,NA,NA,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.922084063603728,0.184941873341942,-4.98580471226694,6.17044463914105e-07,20.6281222112111,-1.2845634745873,-0.559604652620154,NA,NA,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.1215433218273,0.19274376568886,-0.63059534710712,0.528305141949708,0.920556643298724,-0.499314160822094,0.256227517167493,NA,NA,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.26346197564324,0.272225478772075,-0.967807924635254,0.33314030532853,1.58579818434588,-0.79701410971068,0.2700901584242,CON,NA,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0169963164215933,0.262871707153054,0.0646563169755559,0.948447644009391,0.0763599583753054,-0.498222762152952,0.532215394996138,PD,NA,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-1.07076074855376,0.273640687449549,-3.91301731673649,9.11499954134749e-05,13.4213978907666,-1.60708664065966,-0.534434856447864,NA,H,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.790302456488927,0.250718124356738,-3.15215526805885,0.00162070067722317,9.26916661660749,-1.28170095049957,-0.298903962478285,NA,L,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,0.280458292064834,0.371100043144169,0.755748476040673,0.449800013728035,1.15264438974014,-0.446884427158997,1.00780101128866,NA,NA,0.00329626275972081,!,0,0.0306216670678425,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,-0.280458292064834,0.371100033522449,-0.75574849563539,0.449800001977594,1.15264442742867,-1.00780099243044,0.446884408300773,NA,NA,0.00329626275972081,!,0,0.0306216670678425,!
